time,hq_power,computing_center,wind1,wind2,wind3,wind4,windA,windB,hq_temperature,solar
"2022-02-16 00:33:35",-20000,-200000,57830,57830,57830,57830,57830,57830,12.01,0.00
"2022-02-16 00:41:29",-20000,-200000,58674,58674,58674,58674,58674,58674,12.16,0.00
"2022-02-16 01:11:53",-20000,-200000,58674,58674,58674,58674,58674,58674,12.18,0.00
"2022-02-16 01:42:12",-20000,-200000,58232,58232,58232,58232,58232,58232,12.07,0.00
"2022-02-16 02:12:30",-20000,-200000,58232,58232,58232,58232,58232,58232,12.01,0.00
"2022-02-16 02:41:42",-140000,-200000,58635,58648,58648,58635,58635,58635,11.98,0.00
"2022-02-16 03:12:03",-140000,-200000,58648,58648,58648,58648,58648,58648,11.99,0.00
"2022-02-16 03:42:25",-20000,-200000,58310,58310,58310,58310,58310,58310,12.18,0.00
"2022-02-16 04:11:40",-140000,-200000,58310,58310,58310,58310,58297,58310,12.00,0.00
"2022-02-16 04:41:57",-20000,-200000,58882,58882,58882,58882,58882,58882,12.01,0.00
"2022-02-16 05:12:14",-20000,-200000,58882,58882,58882,58882,58882,58882,12.05,0.00
"2022-02-16 05:42:31",-20000,-200000,57530,57530,57530,57530,57530,57530,12.18,0.00
"2022-02-16 06:11:49",-20000,-200000,57621,57621,57621,57621,57608,57608,12.01,0.00
"2022-02-16 06:42:04",-20000,-200000,59000,59000,59000,59000,59000,59000,12.03,0.00
"2022-02-16 07:12:22",-20000,-200000,59000,59000,59000,59000,59000,59000,12.08,0.00
"2022-02-16 07:41:32",-20000,-200000,57478,57478,57478,57478,57478,57478,12.16,1966.61
"2022-02-16 08:11:50",-20000,-200000,57478,57478,57478,57478,57478,57478,12.18,7154.62
"2022-02-16 08:42:05",-140000,-200000,58596,58583,58583,58596,58583,58596,11.97,16385.03
"2022-02-16 09:12:22",-150000,-200000,58583,58596,58583,58583,58596,58583,14.24,24782.47
"2022-02-16 09:41:34",-150000,-200000,57908,57856,57856,57908,57856,57856,18.44,43600.05
"2022-02-16 10:11:51",-150000,-200000,57882,57882,57882,57882,57882,57882,21.87,53559.35
"2022-02-16 10:42:06",-30000,-200000,59000,59000,59000,59000,59000,59000,22.03,56809.45
"2022-02-16 11:12:23",-150000,-200000,59000,59000,59000,59000,59000,59000,21.94,62810.98
"2022-02-16 11:41:35",-30000,-200000,58102,58102,58102,58102,58102,58115,22.06,63765.40
