time,windDirectionFrom10m,visibility,mslp,uvIndex,significantWeatherCode,precipitationRate,totalPrecipAmount,totalSnowAmount,probOfPrecipitation,screenRelativeHumidity,windGustSpeed10m,max10mWindGust,windSpeed10m,screenTemperature,maxScreenAirTemp,minScreenAirTemp,screenDewPointTemperature,feelsLikeTemperature
"2022-02-15 23:00:00",219,2270,99540,0,15,3,2,0,98,99.46,12.86,15.24,7.51,8.36,8.44,7.25,7.99,4.67
"2022-02-16 00:00:00",238,2030,99425,0,15,2,2,0,96,99.18,14.04,16.48,4.12,8.48,8.61,8.36,8.09,6.07
"2022-02-16 01:00:00",251,498,99416,0,15,2,1,0,96,99.38,15.40,16.17,4.67,9.29,9.34,8.48,8.96,6.83
"2022-02-16 02:00:00",260,224,99453,0,15,1,1,0,96,98.11,16.66,16.88,5.05,10.15,10.19,9.29,9.61,7.75
"2022-02-16 03:00:00",266,169,99500,0,15,1,1,0,94,97.54,17.66,17.80,5.95,10.40,10.47,10.15,9.76,7.71
"2022-02-16 04:00:00",264,47888,99480,0,7,0,0,0,9,95.07,18.53,18.74,6.30,10.45,10.62,10.40,9.41,7.65
"2022-02-16 05:00:00",265,2204,99470,0,5,0,0,0,18,99.28,15.43,20.38,7.51,10.59,10.68,10.56,10.18,7.45
"2022-02-16 06:00:00",258,7607,99495,0,7,0,0,0,6,96.75,16.56,20.17,4.74,10.35,10.59,10.33,9.56,8.13
"2022-02-16 07:00:00",261,15764,99616,0,2,0,0,0,3,94.06,17.38,19.02,5.51,10.03,10.35,9.98,8.79,7.46
"2022-02-16 08:00:00",258,28033,99668,1,7,0,0,0,5,92.46,17.57,18.14,6.19,9.83,10.03,9.81,8.32,6.96
"2022-02-16 09:00:00",258,34410,99699,1,3,0,0,0,3,90.61,17.55,18.62,6.34,9.97,9.98,9.83,8.12,7.09
"2022-02-16 10:00:00",253,36185,99700,1,7,0,0,0,10,89.60,17.27,17.71,6.14,10.42,10.43,9.97,8.40,7.70
"2022-02-16 11:00:00",231,1532,99630,1,15,2,1,0,97,99.20,12.86,15.52,6.69,10.46,10.52,10.43,10.05,7.55
"2022-02-16 12:00:00",239,983,99485,1,15,2,1,0,97,98.99,14.91,16.44,4.33,10.31,10.46,10.24,9.89,8.21
"2022-02-16 13:00:00",239,496,99382,1,15,1,1,0,87,98.91,15.57,17.23,4.74,10.66,10.75,10.31,10.26,8.48
"2022-02-16 14:00:00",244,62,99320,1,12,0,1,0,65,99.27,15.43,19.73,10.49,11.20,11.26,10.97,10.80,7.34
"2022-02-16 15:00:00",251,1892,99220,1,12,0,0,0,67,99.41,18.00,21.28,11.16,11.24,11.31,11.20,10.86,7.22
"2022-02-16 16:00:00",262,10105,99203,1,15,3,0,0,97,97.35,23.42,24.50,8.19,11.17,11.30,11.17,10.45,7.90
"2022-02-16 17:00:00",271,17018,99298,1,15,3,1,0,96,93.16,22.90,23.97,6.92,10.65,11.17,10.64,9.19,7.68
"2022-02-16 18:00:00",267,51148,99385,0,0,0,0,0,4,87.34,21.32,23.09,5.59,9.28,10.65,9.28,6.83,6.45
"2022-02-16 19:00:00",266,43045,99510,0,7,0,0,0,6,80.75,21.09,21.94,6.09,8.91,9.28,8.84,5.34,5.82
"2022-02-16 20:00:00",266,61881,99580,0,0,0,0,0,2,80.36,22.24,22.83,6.70,8.60,8.91,8.59,4.95,5.22
"2022-02-16 21:00:00",277,10560,99620,0,8,0,0,0,13,86.78,18.00,22.62,11.06,8.78,9.73,8.77,6.43,4.35
"2022-02-16 22:00:00",270,19486,99738,0,2,0,0,0,6,82.99,19.41,22.53,6.61,8.38,8.78,8.38,5.35,4.97
"2022-02-16 23:00:00",270,34601,99852,0,7,0,0,0,5,77.15,21.05,23.01,6.97,7.79,8.38,7.70,3.68,4.10
"2022-02-17 00:00:00",272,53588,99958,0,2,0,0,0,2,77.83,21.00,22.52,6.95,7.11,7.79,7.10,3.08,3.23
"2022-02-17 01:00:00",274,61895,100090,0,7,0,0,0,5,78.68,19.54,21.51,6.52,6.74,7.11,6.72,2.89,2.91
"2022-02-17 02:00:00",276,66812,100240,0,7,0,0,0,5,80.42,18.37,19.77,6.19,6.47,6.74,6.41,2.92,2.68
"2022-02-17 03:00:00",278,30719,100340,0,7,0,0,0,7,80.26,17.18,17.71,5.51,6.61,7.15,6.59,3.02,3.11
"2022-02-17 04:00:00",282,34415,100450,0,0,0,0,0,3,78.94,16.24,17.16,4.91,6.31,6.61,6.21,2.50,3.00
"2022-02-17 05:00:00",281,36421,100580,0,2,0,0,0,2,77.62,15.98,16.89,4.94,5.75,6.31,5.71,1.74,2.30
"2022-02-17 06:00:00",276,44929,100680,0,2,0,0,0,3,77.71,15.31,16.11,4.46,5.16,5.75,5.10,1.20,1.81
"2022-02-17 07:00:00",273,49593,100760,0,2,0,0,0,2,77.12,14.68,15.94,4.31,4.93,5.16,4.86,0.89,1.60
"2022-02-17 08:00:00",269,53620,100870,1,3,0,0,0,2,77.70,12.60,14.94,3.48,4.69,4.93,4.60,0.80,1.83
"2022-02-17 09:00:00",269,17050,100950,1,7,0,0,0,4,79.03,12.35,13.01,1.65,5.62,5.62,5.20,2.02,4.46
"2022-02-17 10:00:00",261,28656,100973,1,7,0,0,0,6,75.14,11.34,12.56,2.60,5.71,5.72,5.62,1.34,3.66
"2022-02-17 11:00:00",249,28982,100980,1,7,0,0,0,14,75.09,10.09,11.19,1.92,6.24,6.25,5.71,1.78,4.77
"2022-02-17 12:00:00",248,21164,100930,1,12,1,0,0,53,82.24,13.67,13.67,4.23,6.36,6.55,6.23,3.14,3.44
"2022-02-17 13:00:00",267,55676,100960,1,7,0,0,0,8,74.58,16.65,17.20,5.93,6.98,7.37,6.36,2.32,3.43
"2022-02-17 14:00:00",274,66872,100980,1,7,0,0,0,6,67.74,16.06,17.51,5.94,7.17,7.28,6.98,1.18,3.68
"2022-02-17 15:00:00",256,40768,101030,1,7,0,0,0,5,75.17,13.38,15.18,6.22,7.68,8.04,7.56,3.32,4.20
"2022-02-17 16:00:00",268,46101,101055,1,14,2,0,0,57,72.69,12.79,13.73,4.28,7.32,7.68,7.28,2.43,4.55
"2022-02-17 17:00:00",260,40770,101052,1,7,0,0,0,7,78.49,9.38,10.55,2.67,6.41,7.32,6.39,2.57,4.43
"2022-02-17 18:00:00",244,44673,101046,0,7,0,0,0,5,79.78,9.05,9.73,2.37,5.79,6.41,5.74,2.20,3.93
"2022-02-17 19:00:00",241,39066,101040,0,7,0,0,0,5,82.90,10.94,11.03,3.32,5.48,5.79,5.47,2.45,2.85
"2022-02-17 20:00:00",239,29461,100980,0,7,0,0,0,17,82.47,11.14,11.58,3.53,5.48,5.49,5.47,2.39,2.73
"2022-02-17 21:00:00",254,15058,100810,0,12,1,0,0,61,86.10,7.72,8.92,3.34,5.72,5.85,5.69,3.32,3.12
"2022-02-17 22:00:00",181,5432,100662,0,15,1,1,0,84,88.69,5.83,6.70,1.30,4.93,5.72,4.88,2.92,3.99
"2022-02-17 23:00:00",167,6572,100470,0,15,2,0,0,94,89.89,8.40,8.82,2.30,4.60,4.93,4.59,2.75,2.67
"2022-02-18 00:00:00",156,23364,100141,0,15,2,1,0,91,92.11,10.57,10.57,3.22,4.43,4.60,4.38,2.88,1.72
"2022-02-18 01:00:00",156,10046,99810,0,15,4,1,0,97,92.31,12.02,12.02,3.15,5.13,5.17,4.43,3.61,2.73
"2022-02-18 02:00:00",173,1036,99500,0,15,9,4,0,97,93.91,12.14,12.58,2.74,6.33,6.35,5.13,5.03,4.70
"2022-02-18 03:00:00",212,3314,99220,0,15,3,3,0,98,99.48,12.86,16.53,7.66,8.83,8.83,6.23,8.46,5.23
"2022-02-18 04:00:00",238,6775,99023,0,15,5,3,0,98,95.08,15.76,18.77,4.78,8.66,9.13,8.64,7.60,5.99
"2022-02-18 05:00:00",225,31230,98930,0,15,2,1,0,89,90.86,17.98,19.52,5.86,7.39,8.66,7.28,5.65,3.99
"2022-02-18 06:00:00",227,47432,98800,0,2,0,0,0,13,85.17,17.38,20.06,4.69,5.69,7.39,5.60,2.96,2.41
"2022-02-18 07:00:00",217,56794,98580,0,12,0,0,0,49,79.19,21.31,21.32,6.66,5.70,5.79,5.59,1.97,1.55
"2022-02-18 08:00:00",215,60643,98280,1,14,1,0,0,58,74.57,24.36,24.36,7.77,5.45,5.70,5.39,0.88,0.88
"2022-02-18 09:00:00",211,10362,98120,1,12,1,1,0,63,99.07,18.00,23.38,11.32,5.93,6.05,5.88,5.50,0.48
"2022-02-18 10:00:00",217,10327,97708,1,15,3,0,0,96,95.26,19.31,24.64,6.98,5.36,5.93,5.32,4.35,0.97
"2022-02-18 11:00:00",291,17595,98150,1,15,3,2,0,93,91.62,28.74,30.22,10.80,3.99,5.36,3.98,2.37,-1.97
"2022-02-18 12:00:00",293,11158,98820,1,12,1,0,0,57,82.25,29.67,31.71,10.90,2.99,3.99,2.52,-0.18,-3.33
"2022-02-18 13:00:00",287,58278,99189,1,7,0,0,0,8,70.11,25.68,28.90,9.25,4.03,4.05,2.99,-1.40,-1.48
"2022-02-18 14:00:00",299,20522,99450,1,7,0,0,0,10,75.55,20.58,26.80,14.09,4.16,4.26,3.06,-0.03,-2.51
"2022-02-18 15:00:00",280,38714,99657,1,7,0,0,0,14,71.22,19.56,23.51,7.36,4.24,4.32,4.12,-0.83,-0.61
"2022-02-18 16:00:00",273,34424,99818,1,7,0,0,0,17,78.16,16.98,20.67,5.62,3.00,4.24,2.71,-0.80,-1.43
"2022-02-18 17:00:00",277,58845,99952,1,10,1,0,0,37,74.70,18.58,19.61,6.47,2.84,3.00,2.75,-1.60,-2.03
"2022-02-18 18:00:00",288,66328,100170,0,12,0,0,0,48,74.04,19.04,20.30,6.46,2.34,2.84,2.11,-2.21,-2.68
"2022-02-18 19:00:00",288,67043,100370,0,7,0,0,0,12,71.04,19.23,20.45,6.48,2.58,2.72,2.34,-2.53,-2.41
"2022-02-18 20:00:00",282,72505,100560,0,7,0,0,0,8,69.08,18.67,20.02,6.35,2.40,2.58,2.34,-3.04,-2.55
"2022-02-18 21:00:00",276,69534,100702,0,7,0,0,0,9,73.74,18.30,19.69,6.19,2.06,2.39,2.01,-2.50,-2.91
"2022-02-18 22:00:00",279,72274,100806,0,22,0,0,0,29,74.41,17.25,18.74,6.14,1.84,2.06,1.66,-2.62,-3.17
"2022-02-18 23:00:00",275,68139,100889,0,7,0,0,0,7,72.29,16.33,17.76,5.78,1.96,2.03,1.84,-2.81,-2.84
"2022-02-19 00:00:00",275,60157,100977,0,2,0,0,0,8,71.41,14.99,16.56,5.34,2.04,2.11,1.96,-2.86,-2.52
"2022-02-19 01:00:00",268,58678,101028,0,2,0,0,0,5,75.23,14.37,15.98,5.27,1.92,2.04,1.84,-2.25,-2.62
"2022-02-19 02:00:00",264,57231,101070,0,7,0,0,0,5,75.57,14.66,16.15,5.27,1.93,1.98,1.82,-2.17,-2.63
"2022-02-19 03:00:00",261,55543,101105,0,2,0,0,0,4,76.86,13.21,15.52,4.66,1.82,1.93,1.75,-1.99,-2.41
"2022-02-19 04:00:00",274,28950,101090,0,7,0,0,0,11,84.40,12.86,16.05,6.12,2.05,2.33,1.83,-0.57,-2.93
"2022-02-19 05:00:00",252,40816,101050,0,2,0,0,0,4,82.13,13.09,13.13,3.24,2.03,2.05,1.92,-0.96,-1.27
"2022-02-19 06:00:00",244,44927,100992,0,2,0,0,0,9,84.92,13.09,13.54,3.27,1.95,2.03,1.74,-0.60,-1.38
"2022-02-19 07:00:00",235,1671,100939,0,5,0,0,0,28,90.53,11.63,12.85,2.59,2.28,2.35,1.95,0.56,-0.38
"2022-02-19 08:00:00",211,573,100850,1,15,4,0,0,96,96.35,10.50,11.18,2.40,2.52,2.85,2.28,1.64,0.11
"2022-02-19 09:00:00",208,168,100650,1,15,6,3,0,98,98.46,13.06,13.58,3.87,2.93,3.24,2.52,2.23,-0.58
"2022-02-19 10:00:00",227,128,100470,1,15,6,4,0,98,99.56,18.00,19.13,11.73,3.96,3.96,3.32,3.61,-2.26
"2022-02-19 11:00:00",251,18268,100250,1,15,4,3,0,94,96.33,18.89,19.10,7.85,4.91,4.93,3.96,4.07,0.11
"2022-02-19 12:00:00",272,46184,100294,1,14,1,1,0,59,89.77,20.51,20.51,7.63,6.17,6.52,4.91,4.19,1.80
"2022-02-19 13:00:00",277,50204,100318,1,14,1,0,0,53,77.60,21.24,21.38,7.60,6.83,6.96,6.17,2.74,2.66
"2022-02-19 14:00:00",282,48752,100390,1,14,2,0,0,67,80.69,19.36,21.17,6.75,6.93,7.16,6.46,3.37,3.06
"2022-02-19 15:00:00",294,48223,100510,1,14,2,0,0,64,85.23,17.01,19.57,5.74,6.42,6.93,6.18,3.63,2.82
"2022-02-19 16:00:00",298,25838,100780,1,8,0,0,0,10,82.69,11.83,15.98,3.70,5.91,7.48,5.87,2.93,3.13
"2022-02-19 17:00:00",292,33835,100885,1,3,0,0,0,2,82.64,8.75,11.27,2.22,5.48,5.91,5.48,2.44,3.74
"2022-02-19 18:00:00",273,31241,100952,0,7,0,0,0,5,84.84,5.45,7.92,0.58,4.85,5.48,4.84,2.14,3.97
"2022-02-19 19:00:00",245,21968,101003,0,7,0,0,0,7,89.82,6.36,6.51,0.57,4.48,4.85,4.40,2.59,3.51
"2022-02-19 20:00:00",219,14350,100980,0,12,0,0,0,49,93.18,9.21,9.29,1.88,4.76,4.77,4.48,3.48,3.24
"2022-02-19 21:00:00",231,712,100910,0,12,1,0,0,64,95.85,10.09,10.61,2.19,5.41,5.45,4.76,4.53,3.69
"2022-02-19 22:00:00",235,2250,100850,0,15,1,1,0,97,99.17,12.86,14.74,7.51,6.90,6.93,5.68,6.49,2.78
"2022-02-19 23:00:00",254,4975,100760,0,15,2,1,0,98,97.72,15.41,16.92,5.12,7.32,7.36,6.90,6.69,4.18
"2022-02-20 00:00:00",259,5048,100722,0,15,2,1,0,97,94.02,17.12,17.98,5.69,8.04,8.09,7.32,6.82,4.86
"2022-02-20 01:00:00",263,14428,100759,0,15,2,1,0,90,92.14,17.97,18.78,5.83,8.43,8.48,8.04,6.89,5.31
"2022-02-20 02:00:00",254,40925,100710,0,15,1,1,0,86,92.09,17.56,18.30,5.75,8.26,8.43,8.25,6.69,5.13
"2022-02-20 03:00:00",253,44885,100620,0,7,0,0,0,15,90.82,19.08,19.62,5.96,8.16,8.26,8.11,6.39,4.93
"2022-02-20 04:00:00",266,6592,100620,0,7,0,0,0,14,95.95,18.00,20.93,8.13,9.12,9.12,8.97,8.22,5.48
"2022-02-20 05:00:00",250,12713,100545,0,15,1,0,0,93,93.05,17.47,18.40,4.35,8.92,9.12,8.79,7.57,6.52
"2022-02-20 06:00:00",249,4887,100470,0,15,2,1,0,98,93.08,17.09,17.66,5.00,8.81,8.92,8.76,7.44,6.10
"2022-02-20 07:00:00",248,4009,100418,0,15,4,3,0,98,95.74,17.38,17.38,5.26,8.84,8.88,8.80,7.90,6.04
"2022-02-20 08:00:00",249,417,100360,1,15,3,2,0,98,95.05,18.71,18.71,5.81,9.02,9.06,8.84,7.94,6.04
"2022-02-20 09:00:00",248,347,100300,1,15,2,2,0,97,96.29,18.81,18.88,5.76,9.21,9.22,9.02,8.33,6.32
