time,pressure,humidity,visibility,clouds,wind_deg,wind_speed,wind_gust,temperature,temperature_min,temperature_max
"2022-02-16 00:27:59",995,98,149,100,239,9.55,18.46,280.34,279.02,282.00
"2022-02-16 00:42:43",995,98,128,100,253,11.03,18.41,280.54,279.58,282.00
"2022-02-16 00:43:32",995,98,128,100,253,11.03,18.41,280.54,279.58,282.00
"2022-02-16 01:08:31",995,98,128,100,253,11.03,18.41,281.33,280.65,281.75
"2022-02-16 01:41:05",995,97,168,100,256,11.37,18.59,281.30,280.65,281.79
"2022-02-16 02:12:40",995,97,168,100,256,11.37,18.59,281.48,280.65,282.37
"2022-02-16 02:36:06",996,98,191,100,255,11.06,17.96,281.49,280.65,282.37
"2022-02-16 03:05:58",996,98,191,100,255,11.06,17.96,281.79,280.65,282.37
"2022-02-16 03:42:40",996,97,9170,100,257,11.32,17.73,281.49,280.65,282.91
"2022-02-16 04:12:40",996,97,9170,100,257,11.32,17.73,282.00,280.65,283.78
"2022-02-16 04:42:40",996,97,5954,100,252,10.87,17.09,281.85,280.22,283.78
"2022-02-16 05:12:40",996,97,5954,100,252,10.87,17.09,282.24,280.22,283.47
"2022-02-16 05:42:40",997,96,9768,100,257,11.91,17.63,282.22,280.22,283.47
"2022-02-16 06:06:00",997,96,9768,100,257,11.91,17.63,281.80,280.22,283.47
"2022-02-16 06:42:05",997,96,9035,100,251,10.32,17.32,281.82,280.24,282.93
"2022-02-16 07:04:31",997,96,9035,100,251,10.32,17.32,281.87,280.78,282.93
"2022-02-16 07:42:40",998,95,10000,100,254,11.95,18.16,281.83,280.65,282.91
"2022-02-16 08:12:40",998,95,10000,100,254,11.95,18.16,281.83,280.65,282.67
"2022-02-16 08:36:29",998,94,10000,97,250,11.10,18.46,281.86,280.78,282.93
"2022-02-16 09:06:46",998,94,10000,97,250,11.10,18.46,281.88,280.09,283.23
"2022-02-16 09:42:40",997,94,10000,91,241,9.59,17.88,282.16,280.09,283.48
"2022-02-16 10:12:40",997,94,10000,91,241,9.59,17.88,282.24,280.09,284.59
"2022-02-16 10:40:08",997,97,95,93,234,10.25,19.23,282.25,280.09,284.34
"2022-02-16 11:06:00",997,97,95,93,234,10.25,19.23,282.27,280.12,284.34
"2022-02-16 11:32:43",996,97,75,94,236,11.47,21.17,282.61,280.65,284.58
"2022-02-16 12:12:40",996,97,75,91,239,11.45,21.57,283.11,280.65,284.58
"2022-02-16 12:42:40",995,97,98,100,243,11.81,20.81,283.07,280.65,284.58
"2022-02-16 13:12:40",995,97,98,100,243,11.81,20.81,283.11,280.65,284.58
"2022-02-16 13:42:40",994,97,131,100,242,11.88,22.44,283.07,280.65,284.58
"2022-02-16 14:12:40",994,97,131,100,242,11.88,22.44,283.11,280.65,284.34
"2022-02-16 14:42:40",993,97,154,100,243,13.38,24.95,283.05,280.65,284.34
"2022-02-16 15:36:26",993,97,256,100,246,14.85,27.01,283.07,281.21,284.34
"2022-02-16 16:01:16",993,97,256,100,246,14.85,27.01,283.20,281.21,284.34
"2022-02-16 16:13:38",993,97,256,100,246,14.85,27.01,283.19,281.21,284.34
"2022-02-16 16:39:28",993,93,10000,100,253,15.25,27.45,283.15,281.23,283.55
"2022-02-16 17:17:36",993,93,10000,100,253,15.25,27.45,282.36,281.21,282.91
"2022-02-16 17:47:36",995,89,10000,99,268,13.91,23.15,282.02,281.21,282.91
"2022-02-16 18:17:36",995,90,10000,100,269,13.45,25.24,281.92,281.21,282.91
"2022-02-16 18:47:36",995,79,10000,100,265,13.26,25.46,281.92,280.65,282.91
"2022-02-16 19:17:36",995,79,10000,100,265,13.26,25.46,281.75,280.65,282.36
"2022-02-16 19:47:36",997,81,10000,84,268,14.08,24.24,281.34,280.65,281.82
"2022-02-16 20:17:36",997,81,10000,84,268,14.08,24.24,281.33,280.64,281.82
"2022-02-16 20:47:36",998,82,10000,86,266,13.20,23.81,281.25,280.08,281.45
"2022-02-16 21:17:36",998,82,10000,86,266,13.20,23.81,280.70,280.08,281.24
"2022-02-16 21:47:36",999,80,10000,89,270,13.00,23.42,280.20,279.53,281.25
"2022-02-16 22:17:36",999,80,10000,89,270,13.00,23.42,279.98,279.59,281.24
"2022-02-16 22:40:47",1000,81,10000,92,268,12.81,22.61,280.30,279.59,281.24
"2022-02-16 23:12:22",1000,81,10000,92,268,12.81,22.61,279.89,279.53,280.89
"2022-02-16 23:47:36",1001,82,10000,91,269,12.49,20.88,279.83,279.54,280.41
"2022-02-17 00:17:36",1001,83,10000,88,269,12.60,20.93,280.12,279.56,280.41
"2022-02-17 00:47:36",1002,83,10000,100,270,12.10,19.67,279.88,279.04,280.41
"2022-02-17 01:17:37",1002,83,10000,100,270,12.10,19.67,279.70,279.04,280.41
"2022-02-17 01:47:36",1003,85,10000,100,272,11.27,18.43,279.71,279.04,280.33
"2022-02-17 02:17:36",1003,85,10000,100,272,11.27,18.43,279.46,278.78,279.86
"2022-02-17 02:47:36",1004,86,10000,100,274,10.67,17.65,279.37,278.48,279.86
